file,cell_id,runnable,correct_impl,redundant,irrelevant,error_note
policy_metrics.ipynb,cell_12,Y,Y,N,N,
policy_metrics.ipynb,cell_13,Y,Y,N,N,
policy_metrics.ipynb,cell_14,Y,Y,N,N,
policy_metrics.ipynb,cell_15,Y,Y,N,N,
policy_metrics.ipynb,cell_16,Y,Y,N,N,
policy_metrics.ipynb,cell_17,Y,Y,N,N,
policy_metrics.ipynb,cell_18,Y,Y,N,N,
policy_metrics.ipynb,cell_19,Y,Y,N,N,
policy_metrics.ipynb,cell_20,Y,Y,N,N,
policy_metrics.ipynb,cell_21,Y,Y,N,N,
policy_metrics.ipynb,cell_22,Y,Y,N,N,
policy_metrics.ipynb,cell_23,Y,Y,N,N,
policy_metrics.ipynb,cell_24,Y,Y,N,N,
policy_metrics.ipynb,cell_25,Y,Y,N,N,
policy_metrics.ipynb,cell_26,Y,Y,N,N,
policy_metrics.ipynb,cell_27,Y,Y,N,N,
policy_metrics.ipynb,cell_28,Y,Y,N,N,
policy_metrics.ipynb,cell_29,Y,Y,N,N,
policy_metrics.ipynb,cell_30,Y,Y,N,N,
policy_metrics.ipynb,cell_31,Y,Y,N,N,
policy_metrics.ipynb,cell_32,Y,Y,N,N,
policy_metrics.ipynb,cell_33,Y,Y,N,N,
policy_metrics.ipynb,cell_34,Y,Y,N,N,
policy_metrics.ipynb,cell_35,Y,Y,N,N,
policy_metrics.ipynb,cell_36,Y,Y,N,N,
policy_metrics.ipynb,cell_37,Y,Y,N,N,
policy_metrics.ipynb,cell_38,Y,Y,N,N,
policy_metrics.ipynb,cell_39,Y,Y,N,N,
policy_metrics.ipynb,cell_40,Y,Y,N,N,
policy_metrics.ipynb,cell_41,Y,Y,N,N,
policy_metrics.ipynb,cell_42,Y,Y,N,N,
policy_metrics.ipynb,cell_43,Y,Y,N,N,
policy_metrics.ipynb,cell_44,Y,Y,N,N,
policy_metrics.ipynb,cell_45,Y,Y,N,N,
policy_metrics.ipynb,cell_46,N,Y,N,N,LaTeX
policy_metrics.ipynb,cell_47,N,Y,N,N,LaTeX
policy_metrics.ipynb,cell_48,N,Y,N,N,LaTeX
policy_metrics.ipynb,cell_49,N,Y,N,N,LaTeX
policy_metrics.ipynb,cell_50,N,Y,N,N,LaTeX
policy_metrics.ipynb,cell_51,N,Y,N,N,LaTeX
policy_metrics.ipynb,cell_52,N,Y,N,N,LaTeX
policy_metrics.ipynb,cell_53,N,Y,N,N,LaTeX
policy_metrics.ipynb,cell_54,N,Y,N,N,LaTeX
policy_metrics.ipynb,cell_55,Y,N,N,Y,Empty cell
policy_metrics.ipynb,cell_56,Y,N,N,Y,Empty cell
